customer_id,first_name,last_name,email,phone,city,state,loyalty_tier,created_at
C00001,Lakshmi,Reddy,lakshmi.reddy1@example.com,9126855092,Kolkata,West Bengal,Bronze,2024-04-11 22:36:00
C00002,Varun,Reddy,varun.reddy2@example.com,9826600539,Ranchi,Jharkhand,Bronze,2024-11-03 13:37:00
C00003,Priya,Kumar,priya.kumar3@example.com,9200604502,Noida,Uttar Pradesh,Bronze,2025-03-14 17:02:00
C00004,Ravi,Mishra,ravi.mishra4@example.com,9313500298,Ranchi,Jharkhand,Silver,2024-11-23 10:29:00
C00005,Isha,Gupta,isha.gupta5@example.com,9969119330,Chennai,Tamil Nadu,Gold,2024-04-26 14:14:00
C00006,Diya,Malhotra,diya.malhotra6@example.com,9465341213,Kolkata,West Bengal,Bronze,2025-07-10 07:01:00
C00007,Vikram,Reddy,vikram.reddy7@example.com,9199585092,Kochi,Kerala,Bronze,2025-09-09 11:02:00
C00008,Pooja,Pillai,pooja.pillai8@example.com,9384027113,Hyderabad,Telangana,Gold,2025-01-25 19:15:00
C00009,Sneha,Kapoor,sneha.kapoor9@example.com,9184611066,Ranchi,Jharkhand,Bronze,2025-04-03 02:16:00
C00010,Manoj,Joshi,manoj.joshi10@example.com,9719927151,Noida,Uttar Pradesh,Gold,2024-02-03 16:50:00
C00011,Aarav,Iyer,aarav.iyer11@example.com,9930075810,Bhubaneswar,Odisha,Platinum,2025-09-15 03:45:00
C00012,Anjali,Reddy,anjali.reddy12@example.com,9508157429,Kolkata,West Bengal,Silver,2025-08-30 17:08:00
C00013,Pooja,Verma,pooja.verma13@example.com,9497478786,Jaipur,Rajasthan,Bronze,2024-07-13 17:46:00
C00014,Diya,Patel,diya.patel14@example.com,9754049436,Delhi,Delhi,Silver,2024-06-27 14:22:00
C00015,Neha,Bose,neha.bose15@example.com,9507437181,Kolkata,West Bengal,Platinum,2025-04-11 08:48:00
C00016,Diya,Mishra,diya.mishra16@example.com,9335809993,Ahmedabad,Gujarat,Gold,2025-07-19 09:34:00
C00017,Priya,Iyer,priya.iyer17@example.com,9982403818,Hyderabad,Telangana,Gold,2024-10-19 10:51:00
C00018,Rahul,Patel,rahul.patel18@example.com,9326541099,Chandigarh,Chandigarh,Gold,2024-08-17 11:23:00
C00019,Kiran,Chopra,kiran.chopra19@example.com,9524806516,Nagpur,Maharashtra,Bronze,2024-04-12 00:13:00
C00020,Anjali,Mishra,anjali.mishra20@example.com,9678722458,Kolkata,West Bengal,Gold,2024-11-08 07:25:00
C00021,Nisha,Agarwal,nisha.agarwal21@example.com,9528853029,Jaipur,Rajasthan,Bronze,2024-04-11 01:31:00
C00022,Kavya,Chopra,kavya.chopra22@example.com,9197613238,Hyderabad,Telangana,Gold,2024-04-21 15:05:00
C00023,Lakshmi,Verma,lakshmi.verma23@example.com,9950488739,Coimbatore,Tamil Nadu,Silver,2024-10-07 12:17:00
C00024,Asha,Pillai,asha.pillai24@example.com,9602564736,Patna,Bihar,Bronze,2025-02-07 04:19:00
C00025,Mohan,Kumar,mohan.kumar25@example.com,9830448745,Mumbai,Maharashtra,Gold,2025-01-26 08:14:00
C00026,Sanya,Gupta,sanya.gupta26@example.com,9925276600,Ahmedabad,Gujarat,Bronze,2024-11-12 22:04:00
C00027,Neha,Bose,neha.bose27@example.com,9103484630,Kolkata,West Bengal,Platinum,2025-07-09 04:15:00
C00028,Neha,Saxena,neha.saxena28@example.com,9214257751,Bhubaneswar,Odisha,Gold,2025-01-05 00:03:00
C00029,Manoj,Nair,manoj.nair29@example.com,9264109919,Jaipur,Rajasthan,Gold,2025-01-28 02:19:00
C00030,Sanya,Saxena,sanya.saxena30@example.com,9100614068,Visakhapatnam,Andhra Pradesh,Bronze,2024-01-15 12:22:00
C00031,Sneha,Joshi,sneha.joshi31@example.com,9992994062,Bhubaneswar,Odisha,Bronze,2024-06-24 17:32:00
C00032,Nisha,Agarwal,nisha.agarwal32@example.com,9184564737,Bengaluru,Karnataka,Gold,2025-08-17 13:02:00
C00033,Amit,Mishra,amit.mishra33@example.com,9922308461,Pune,Maharashtra,Bronze,2024-12-12 10:09:00
C00034,Rohan,Verma,rohan.verma34@example.com,9384602384,Patna,Bihar,Gold,2024-11-04 10:52:00
C00035,Kiran,Mishra,kiran.mishra35@example.com,9910959828,Noida,Uttar Pradesh,Gold,2024-10-17 20:53:00
C00036,Aarav,Joshi,aarav.joshi36@example.com,9570406376,Patna,Bihar,Silver,2024-06-29 20:27:00
C00037,Anjali,Patel,anjali.patel37@example.com,9463016614,Chennai,Tamil Nadu,Silver,2024-06-16 21:32:00
C00038,Isha,Iyer,isha.iyer38@example.com,9107721109,Bengaluru,Karnataka,Gold,2024-02-13 04:53:00
C00039,Anjali,Patel,anjali.patel39@example.com,9133729406,Ahmedabad,Gujarat,Bronze,2024-06-22 15:25:00
C00040,Rahul,Chopra,rahul.chopra40@example.com,9330035022,Ranchi,Jharkhand,Bronze,2025-02-20 03:42:00
C00041,Isha,Chopra,isha.chopra41@example.com,9360916298,Indore,Madhya Pradesh,Gold,2024-05-18 23:39:00
C00042,Sneha,Reddy,sneha.reddy42@example.com,9807577342,Coimbatore,Tamil Nadu,Silver,2024-10-26 16:31:00
C00043,Divya,Sharma,divya.sharma43@example.com,9823019672,Mumbai,Maharashtra,Bronze,2025-06-14 14:27:00
C00044,Vikram,Reddy,vikram.reddy44@example.com,9366992705,Noida,Uttar Pradesh,Bronze,2024-11-23 00:05:00
C00045,Arjun,Malhotra,arjun.malhotra45@example.com,9297018781,Kolkata,West Bengal,Silver,2024-02-25 05:26:00
C00046,Divya,Mishra,divya.mishra46@example.com,9205128697,Hyderabad,Telangana,Gold,2025-01-28 23:27:00
C00047,Tanvi,Kumar,tanvi.kumar47@example.com,9200140141,Lucknow,Uttar Pradesh,Bronze,2024-12-19 23:11:00
C00048,Sanjay,Nair,sanjay.nair48@example.com,9530613729,Hyderabad,Telangana,Bronze,2024-01-02 21:40:00
C00049,Asha,Gupta,asha.gupta49@example.com,9941889393,Nagpur,Maharashtra,Bronze,2025-05-22 13:49:00
C00050,Varun,Mishra,varun.mishra50@example.com,9810678904,Indore,Madhya Pradesh,Bronze,2024-08-04 09:20:00
C00051,Kiran,Sharma,kiran.sharma51@example.com,9721890096,Ranchi,Jharkhand,Bronze,2024-08-16 16:38:00
C00052,Priya,Sharma,priya.sharma52@example.com,9727255918,Indore,Madhya Pradesh,Silver,2025-09-13 06:21:00
C00053,Kavya,Verma,kavya.verma53@example.com,9161073976,Patna,Bihar,Bronze,2024-05-15 15:31:00
C00054,Amit,Pillai,amit.pillai54@example.com,9172972420,Lucknow,Uttar Pradesh,,2025-02-19 03:47:00
C00055,Anjali,Agarwal,anjali.agarwal55@example.com,9738360085,Hyderabad,Telangana,Silver,2024-11-01 14:29:00
C00056,Aarav,Agarwal,aarav.agarwal56@example.com,9706907788,Patna,Bihar,Bronze,2024-07-09 05:12:00
C00057,Kiran,Mehta,kiran.mehta57@example.com,9356287095,Kolkata,West Bengal,Silver,2025-05-04 10:38:00
